From	To
P84244	H3-3b
Q62280	Ss18
P97302	Bach1
P97305	Nfatc3
Q8K120	Nfatc4
P97346	Nxn
Q9DA19	Cir1
P97368	Meis3
P97454	Smad5
P97474	Pitx2
Q8CHK4	Kat5
Q62231	Six1
Q9WTL8	Arntl
P97489	Gata5
Q9DBS8	Poc5
P97769	Cited1
P97784	Cry1
Q9R1X4	Timeless
Q9CQG4	Reep5
Q60925	Dbp
Q08297	Rad51
P98192	Gnpat
Q3THK3	Gtf2f1
Q6GTH9	Neurog2
Q02085	Snai1
Q02248	Ctnnb1
Q61315	Apc
Q02395	Mtf2
Q02591	Gsc
Q03358	Msx2
Q62504	Spen
Q8BXP5	Ankrd33
Q8R5C8	Zmynd11
Q9CWW7	Cxxc1
Q9D504	Ankrd7
Q04211	Btg2
Q91VY5	Kdm4b
Q9WTP3	Spdef
Q8VCD5	Med17
Q9ER75	Irx6
Q07174	Map3k8
Q8CDD8	Kctd20
Q07230	Zscan2
Q6PD29	Znf513
Q8VE28	Nkd2
Q07231	Zscan21
Q60953	Pml
Q07243	Mtf1
Q9QZB6	Nr4a3
Q61103	Dpf2
Q62240	Kdm5d
Q7TPV4	Mybbp1a
Q8BLR9	Hif1an
Q8CFI7	Polr2b
Q8VE42	Ankrd49
Q8VHI4	Carf
Q91X20	Ash2l
Q922V4	Plrg1
Q924S6	Znf219
Q99MY8	Ash1l
Q9CQ39	Med21
Q9D7M8	Polr2d
Q9JIB4	Gtf2h2
Q07802	Ebf1
Q8BJI4	Pou6f2
Q08024	Cbfb
Q8K396	Mnd1
Q08369	Gata4
Q8BX22	Sall4
Q64700	Rbl2
Q1H9T6	Zbtb48
Q8VIM5	Myocd
Q3TVI8	Pbxip1
Q9CQI9	Med30
Q3U1N2	Srebf2
Q9JJQ3	Zfp275
Q8R3P9	Slf1
Q9WUQ2	Preb
Q4G5Y1	Klhdc2
Q9D6I7	Dipk1a
Q9D6X5	Slc52a3
Q9DCX1	Mad2l1bp
Q3UHF7	Hivep2
Q3UJD6	Usp19
Q8K2C9	Hacd3
Q3UNW5	Tfcp2l1
Q9ERA0	Tfcp2
Q5RL51	Gstcd
Q9CR09	Ufc1
Q60668	Hnrnpd
Q60698	Ski
Q61602	Gli3
Q60867	Neurod1
Q60749	Khdrbs1
Q91W39	Ncoa5
Q60771	Cldn11
Q9DCK3	Tspan4
Q61827	Mafk
Q8R2X8	Blzf1
Q9JLC6	Tef
Q80UW8	Polr2e
Q61146	Ocln
Q62312	Tgfbr2
Q9WVL2	Stat2
Q61188	Ezh2
Q61233	Lcp1
Q9DAW9	Cnn3
Q64279	Hand1
Q61501	E2f1
Q9CPR8	Nsmce3
Q62315	Jarid2
Q6NZI9	Zfp180
Q6PGB8	Smarca1
Q80X44	Zbtb24
Q8BP86	Snapc4
Q8BY02	Nkrf
Q8C7B8	Zswim4
Q8K119	Pms1
Q8VCG9	Rfxap
Q8VIG1	Rest
Q91ZU1	Asb6
Q99LL5	Pwp1
Q99PE2	Ankra2
Q9D6K9	Cers5
Q9DCD2	Xab2
Q9R0X0	Med20
Q9Z1B8	Phf1
Q9Z1L3	Dedd
Q9Z2D6	Mecp2
Q61751	Znf354a
Q62318	Trim28
Q61820	Rasl2-9
Q9JIB0	Rangrf
Q62282	Tal2
Q9QYB2	Dach1
Q62296	Tead4
Q8BIQ3	Znf2
Q62440	Tle1
Q9ER42	Barx1
Q64526	Krtap9-1
Q9D1I4	Lce1f
Q9D1K4	Lce1a2
Q8C1R0	Tssk5
Q64732	Foxb1
Q8CB77	Eloa
Q6J1H4	Utf1
S4R299	Zfp236
Q99KW9	Itfg1
Q9D009	Lipt2
Q6PDK0	Zbtb39
Q9CZT4	Polr3e
Q8BP71	Rbfox2
Q9Z0G7	Zbtb22
Q6VUP9	Tfap2e
Q6ZQG6	Plagl2
Q7TSI0	Znf12
Q80V53	Chst14
Q8R0T2	Znf768
Q9CZK6	Anks3
Q8BJ04	Barhl1
Q8BN78	Zbtb33
Q8BSQ9	Pbrm1
Q8BVH0	Zfp398
Q8BWY7	Slc39a11
Q9QY14	Foxe3
Q8BZ34	Znf641
Q9D0B1	Znf524
Q9CUN6	Smurf1
Q9ESZ8	Gtf2i
Q91VN1	Znf24
Q8CCJ4	Amer2
Q8JZL0	Znf467
Q8K0Y2	Krt33a
Q922U2	Krt5
Q8K4J6	Mrtfa
Q8K4Z2	Fndc5
Q9Z205	Rfxank
Q8R326	Pspc1
Q9CZX2	Cep89
Q9QZ28	Six6
Q8R5J9	Arl6ip5
Q99KK1	Reep3
Q8VCD7	Kdm4c
Q8VD76	Gtf2h3
Q8VDK3	Elf5
Q8VHJ7	Ppargc1b
Q920D3	Med28
Q921D4	Med6
Q9DBS2	Tprg1l
Q924A2	Cic
Q9ES18	Foxj2
Q9JJG5	Sertad2
Q99N03	Ms4a10
Q9QXV3	Ing1
Q9CQB2	Mcrip2
Q9CR78	Msantd3
Q9Z2F2	Oasl2
Q9CWS1	Rnf135
Q9CWY4	Gemin7
Q9CX53	Gemin6
Q9WTL2	Rab25
Q9CY99	Zfp623
Q9Z247	Fkbp9
Q9CZA6	Nde1
Q9D6W8	Borcs6
Q9DAI4	Zbtb43
Q9D0F1	Ndc80
Q9D122	Krtap4-2
Q9D195	Lce1g
Q9D3J5	Ankrd22
Q9D3R3	Cep72
Q9D6J1	Cers4
Q9D6S9	2310061N02Rik
Q9DCW2	Plscr2
Q9D9Z1	Knstrn
Q9D7G9	Mapk1ip1
Q9JJC8	Nipa2
Q9D8L5	Ccdc91
Q9D8M7	Phf10
Q9DCP9	Dazap2
Q9DCC4	Pycr3
Q9QWL7	Krt17
Q9Z320	Krt27
Q9JJ94	Ssna1
Q9JK92	Hspb8
Q9JLV1	Bag3
Q9QZ09	Phtf1
Q9WU42	Ncor2
Q9Z2V6	Hdac5
Q9Z223	Mocs2
