From	To
Q9HB71	CACYBP
O75400	PRPF40A
Q06323	PSME1
Q0VDD7	BRME1
O15265	ATXN7
P51668	UBE2D1
Q12873	CHD3
Q9UNN5	FAF1
O43711	TLX3
O95231	VENTX
P35548	MSX2
P55318	FOXA3
P55771	PAX9
Q04743	EMX2
Q9BZE3	BARHL1
O43765	SGTA
Q99614	TTC1
P36406	TRIM23
Q14194	CRMP1
Q9NPF4	OSGEP
Q8N448	LNX2
O43281	EFS
Q9Y6H5	SNCAIP
P43364	MAGEA11
Q15834	CCDC85B
Q96LR2	LURAP1
Q9P0L1	ZKSCAN7
Q9Y2I6	NINL
Q9Y620	RAD54B
O60238	BNIP3L
B4DI28	PTBP2
B4DJ51	HEL-S-72
O94983	CAMTA2
P08865	RPSA
P25105	PTAFR
P48507	GCLM
P58397	ADAMTS12
Q6IPM2	IQCE
Q86VI3	IQGAP3
Q8NCR3	MFI
Q9BYC9	MRPL20
Q9H0B3	IQCN
Q9UM54	MYO6
Q9H267	VPS33B
B4DNA4	hCG_20425
Q13426	XRCC4
Q15027	ACAP1
Q96D59	RNF183
O60573	EIF4E2
Q86UW9	DTX2
Q9ULL4	PLXNB3
B4DRS2	KRT4
P13646	KRT13
Q14525	KRT33B
Q01780	EXOSC10
P46934	NEDD4
Q6UXB4	CLEC4G
B4DW13	hCG_23341
P47224	RABIF
B4DWZ4	FEN1
P26641	EEF1G
P52565	ARHGDIA
Q6RW13	AGTRAP
O75525	KHDRBS3
P17482	HOXB9
P20719	HOXA5
Q86SE5	RALYL
Q8NHQ1	CEP70
Q92997	DVL3
Q96C00	ZBTB9
Q9BQ66	KRTAP4-12
Q9UBT2	UBA2
O15519	CFLAR
O43155	FLRT2
O75094	SLIT3
O75426	FBXO24
O94763	URI1
O94810	RGS11
P15918	RAG1
P18074	ERCC2
P41279	MAP3K8
P51788	CLCN2
P62753	RPS6
P78395	PRAME
Q02790	FKBP4
Q06828	FMOD
Q0VAA2	LRRC74A
Q13133	NR1H3
Q13470	TNK1
Q14137	BOP1
Q14145	KEAP1
Q14344	GNA13
Q14994	NR1I3
Q149M9	NWD1
Q15393	SF3B3
Q15562	TEAD2
Q5BKY1	LRRC10
Q5TEA3	DNAAF9
Q6JEL2	KLHL10
Q6NSJ5	LRRC8E
Q6P2D8	XRRA1
Q6P9F7	LRRC8B
Q6PCT2	FBXL19
Q6UY01	LRRC31
Q6VAB6	KSR2
Q70CQ1	USP49
Q7L5Y6	DET1
Q7Z3Z4	PIWIL4
Q7Z5L7	PODN
Q86WA0	HIG-1
Q8IUZ0	LRRC49
Q8N1E6	FBXL14
Q8N456	LRRC18
Q8NER5	ACVR1C
Q8NFZ0	FBH1
Q8NI51	CTCFL
Q8TC59	PIWIL2
Q8TCJ0	FBXO25
Q92834	RPGR
Q93000	CHLR1
Q96DD0	LRRC39
Q96FV0	LRRC46
Q96II8	LRCH3
Q96J94	PIWIL1
Q96L50	LRR1
Q96M69	LRGUK
Q9BRZ2	TRIM56
Q9BTT6	LRRC1
Q9BV99	LRRC61
Q9BYS8	LRRC2
Q9C0I9	LRRC27
Q9H0A0	NAT10
Q9H0H3	KLHL25
Q9H2C0	GAN
Q9H967	WDR76
Q9H9A6	LRRC40
Q9HBG6	IFT122
Q9NPV4	DKFZp762F2011
Q9NR64	KLHL1
Q9NSU2	TREX1
Q9NYS7	WSB2
Q9UBU9	NXF1
Q9UFC0	LRWD1
Q9UJT9	FBXL7
Q9UKT8	FBXW2
Q9UMW8	USP18
Q9UQ03	CORO2B
Q9UQ13	SHOC2
Q9Y2L9	LRCH1
Q9Y577	TRIM17
P10606	COX5B
Q9BQA5	HINFP
O43261	DLEU1
P51946	CCNH
Q14566	MCM6
Q8N5Z5	KCTD17
Q9H6J7	C11orf49
Q13573	SNW1
O75843	AP1G2
P04075	ALDOA
P46379	BAG6
P48643	CCT5
Q13310	PABPC4
Q14839	CHD4
Q9Y4Z0	LSM4
P21246	PTN
P47756	CAPZB
P62829	RPL23
Q99877	H2BC15
B6SEH8	ERVV-1
P60520	GABARAPL2
O15247	CLIC2
O43293	DAPK3
O43448	KCNAB3
O43781	DYRK3
O95967	EFEMP2
P04629	NTRK1
P15056	BRAF
P25490	YY1
P36894	BMPR1A
P36896	ACVR1B
P36955	SERPINF1
P43366	MAGEB1
P45880	VDAC2
P51817	PRKX
P61981	YWHAG
P62888	RPL30
Q00535	CDK5
Q00688	FKBP3
Q02641	CACNB1
Q08495	DMTN
Q12866	MERTK
Q14721	KCNB1
Q14722	KCNAB1
Q16644	MAPKAPK3
Q546Y9	AID
Q6VN20	RANBP10
Q7KZI7	MARK2
Q8IU85	CAMK1D
Q8N4C8	MINK1
Q8TDD1	DDX54
Q8WY36	BBX
Q99683	MAP3K5
Q99759	MAP3K3
Q9BSL1	UBAC1
Q9H0G5	NSRP1
Q9H3Y6	SRMS
Q9HBY8	SGK2
Q9NPF8	ADAP2
