Tbx21,Q9JKD8,0.1557,0.0555,0.3794,0.3429,0.1459,0.0,0.0,0.0,0.0,0.0,1.117,0.0,0.1926,0.0,0.0604,0.1627,0.0,0.0,0.0708,0.1404,0.135,0.1602,0.0646,0.0565,0.0,0.0,0.0496,0.0446,0.0,0.0475,0.0,0.1314,0.1662,0.1204,0.1842,0.0469,0.6881,0.445,0.2938,0.5594,0.1204,0.2511,0.298,0.1749,0.1937,0.0845,0.3716,0.398,0.2914,0.5311,4.7344,5.5211,5.0235,3.9925,0.0551,0.0,0.0,0.0,0.1278,0.0,1.1402,1.4299,1.8629,1.3473,0.4782,0.3119,0.0
Meox1,P32442,1.3114,1.2222,2.3102,3.8776,0.0654,0.1933,0.1567,0.0544,0.1158,0.0,0.4073,0.1553,0.8272,1.6688,1.0892,1.323,5.4974,5.7236,8.3226,7.3678,4.492,4.1049,4.251,4.9139,0.1112,0.1495,0.0533,0.0,0.0987,0.0,0.0,0.1423,0.9121,1.7559,1.384,1.4097,4.9748,8.3732,4.2404,4.1449,3.1945,1.4928,1.5275,2.7517,1.8051,3.5606,0.3232,0.8991,0.6096,0.7873,0.8115,0.5617,0.1523,0.2108,1.2829,1.6691,1.5613,1.0573,1.2905,0.735,0.8912,0.9217,1.2033,1.3478,1.9034,3.3913,0.584
Nkx2-1,P50220,0.0,0.0,0.0,0.0,0.0,0.0964,0.0754,0.0797,0.8546,0.9278,1.6833,0.0762,0.0,0.0,0.0798,0.0,0.0,0.3587,0.1498,0.0486,0.0,0.0,0.087,0.0,0.0,0.1234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0817,0.0,0.0,87.4819,68.456,68.2424,71.4969,0.0,0.0,0.0,0.0,0.0,0.1142,0.0611,0.0,0.0,0.0642,0.0,0.0,0.0,0.0,0.0717,0.0,0.0,0.0,0.0,0.0,0.0819,0.0,0.0,0.1471,0.0,0.0,0.0
Pax9,P47242,0.0,0.0,0.0,0.0,0.046,0.0455,0.0,0.0,0.0,0.0,0.0,0.0,1.1552,0.5231,0.3118,0.842,0.0,0.0731,0.2144,0.119,0.17,0.1927,0.0849,0.0,0.1548,0.0699,0.0,0.0351,0.0341,0.0,0.0361,0.0336,0.0,0.0819,0.0,0.0,0.037,0.1249,1.2606,0.0614,0.2485,0.0534,0.0566,0.2459,0.1219,0.1485,0.031,0.0426,0.032,0.0,0.1141,0.0361,0.0358,0.1095,1.0567,0.2141,0.0,0.2916,0.9725,1.8527,2.4049,2.0808,3.524,2.6625,0.0,0.0,0.0354
Brpf1,Q9CTY1,6.1277,6.9356,7.4679,8.0481,6.8864,7.3114,6.3984,6.7754,5.6152,5.5472,6.4925,6.8787,7.1795,5.4402,6.0106,5.3656,3.7776,3.7025,3.8657,3.7638,3.8278,4.3598,3.8749,5.3654,3.7153,3.1119,3.2972,2.924,2.1103,3.0196,1.7891,2.4874,5.8011,5.9141,5.6902,6.0605,8.5942,9.0817,7.3126,7.7331,2.6692,2.5831,2.4909,2.3297,10.1157,9.4679,7.4381,6.722,4.7449,3.0622,14.3126,14.8416,13.5863,12.4993,3.9636,3.4741,4.4045,3.9812,12.0862,9.5481,19.8694,19.1361,20.5532,22.6182,8.1172,10.4253,3.3626
Hoxc6,P10629,23.8597,22.6026,18.3427,19.2062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2624,4.7449,11.9885,12.9723,0.0,0.0,0.0,0.0,10.0552,9.0504,10.0503,11.456,0.0,0.0,0.0,0.0777,0.0,0.0,0.0,0.0,0.1768,0.0,0.0758,0.3669,0.3089,0.0,0.0,0.0,4.4726,4.6357,4.1519,4.1965,35.0856,23.8015,2.3591,2.6943,1.7932,0.713,0.0,0.0,0.2537,0.0,0.1692,0.5397,0.0,0.1056,1.028,1.2326,0.2746,0.0,0.0,0.5086,3.1515,2.9668,0.0
Pwp1,Q99LL5,15.9389,13.2759,16.8353,15.6954,10.0793,9.4294,9.0771,10.0982,9.8907,8.6171,8.5837,10.8823,12.8144,9.9253,13.1331,15.1769,4.8041,5.7511,6.5473,6.8926,7.8303,9.7025,8.9949,8.1501,8.8345,9.503,7.7088,8.8728,9.3737,8.2136,7.2679,8.6009,9.1004,14.8292,14.3147,13.2498,10.8817,10.5647,13.138,12.6995,12.3164,12.3323,9.677,9.6105,19.7556,19.9565,9.8539,12.6088,9.24,10.8099,21.2337,25.0276,19.293,21.2966,9.7257,8.5584,10.4896,6.7942,19.5604,20.3119,26.3222,24.7354,24.5722,24.6622,15.0144,28.993,6.3984
Hoxd13,P70217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0996,0.0483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0586,0.0,0.0,0.0,0.0,0.0,50.0607,47.8134,40.869,0.0,0.0,0.0,0.0,0.0,1.2133,2.8046,0.0,0.0,0.0,0.0,0.0,0.0564,0.0,0.0,0.0,0.0629,0.0636,0.0,0.0,0.0814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3071
Hoxd12,P23812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9303,1.9055,0.9016,0.0,0.0,0.0,0.0,0.0,0.1218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1179,0.0,0.2928
Nr1h3,Q9Z0Y9,9.1619,11.9844,14.8011,16.8695,2.1616,2.0041,0.9628,2.3387,1.6301,3.0409,2.3803,1.4008,3.5328,2.5675,5.3328,4.0176,4.6686,4.5285,6.7046,5.7942,25.9224,26.9734,26.853,22.8715,43.5068,56.449,46.8727,53.4297,46.7569,51.2953,42.9212,48.9756,6.1403,10.8032,11.6517,12.4137,26.552,28.9345,21.3941,22.6238,10.9259,8.2699,11.514,8.0051,5.5452,3.2778,30.7803,34.0941,37.8272,35.859,40.8911,43.5223,34.9368,29.7649,3.1116,3.3286,1.2669,3.1223,5.3532,4.0938,6.4822,8.4403,6.8265,6.5371,6.279,7.5127,1.0743
